dataid,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02
2005,,,,,,,,,,,58.69,65.58,69.9,117.07,157.68,102.8,80.77,64.51,56.8,46.63,44.82,42.29
2462,,,,,,,,,,,94.01,92.18,119.55,190.69,270.67,174.75,127.14,86.91,99.78,112.59,105.65,83.61
2542,,,,,,,190.76,350.02,451.49,306.02,286.11,198.68,,,,,283.84,172.87,210.98,278.64,224.36,106.8
2933,,,,,,,,,,,,84.09,85.67,123.16,138.71,94.27,93.22,95.35,148.78,231.98,278.21,184.0
3172,,,,,,,,,,,,,,,,,,,,,,
3485,,,,,,,,,,,61.26,49.09,51.12,88.28,210.65,112.72,96.13,74.69,85.57,86.38,100.77,81.66
3841,,,,,,,,,,57.91,46.63,39.26,46.47,71.57,132.57,78.69,62.91,68.79,64.22,68.58,83.97,63.66
4164,,,,,,,,,,,,,,,,,,,,,,
4399,,,,,,,,,,,100.7,109.58,141.13,216.41,282.14,193.56,186.86,121.04,121.52,142.64,190.17,141.49
5265,,,,,,,,,,,55.96,49.57,57.64,71.94,87.33,,,,,,,84.11
6820,,,,,,,,,,,,,,,,,,56.58,102.43,99.8,99.0,83.16
7246,,,,,,,112.62,120.19,131.07,102.78,137.89,110.84,98.27,81.32,64.77,72.41,71.65,107.12,153.22,162.15,150.9,88.94
7352,143.25,278.74,318.65,320.49,238.65,139.71,,,,111.96,123.9,139.37,179.39,286.57,,,,,,,,
7624,,,,,,,,,,,55.18,64.35,83.73,153.19,220.49,141.68,114.78,56.64,53.8,58.81,59.06,50.77
9765,,,,,,,70.68,62.91,58.91,48.09,54.97,,,,,,,,,,,
9783,,,,,,,,,,,204.16,97.99,,,,,,,,,,254.91
10323,,,,,,,,,,,105.81,62.31,,,,,,,,,,154.18
10458,,,,,,,,,,,,,,,,,,54.32,72.59,83.6,95.22,89.9
10532,135.72,259.88,306.82,245.46,152.73,92.24,80.14,86.33,90.72,76.94,78.48,77.15,86.19,154.39,233.54,181.28,125.96,76.67,92.87,92.51,69.73,59.99
10686,85.1,146.88,151.21,155.92,104.48,94.95,95.07,145.66,173.59,111.05,110.4,83.83,77.38,97.94,141.57,87.09,81.28,70.71,98.22,125.49,151.96,111.92
11744,,,,,,,,,,,52.81,45.86,66.12,234.65,,,,,,,,58.19
11991,,,,,,,,,,,,,,,,,,,,,,
